Nombre de la Lista,Lista de Precios Base,,,
Moneda,Peso Chileno,,,
,,,,
Tipo de producto,Código Barras,SKU,Variante,Precio Venta
DULCES Y CHOCOLATES,7802225590426,CR90G0426,CHOCOLATE RELLENO BON O BON 90G,"1.790,00"
DULCES Y CHOCOLATES,4250231139970,CHRO209970,CHOCOLATE ROYAL THINS 200G MANGO,"4.990,00"
DULCES Y CHOCOLATES,4019400440657,CHRO200657,CHOCOLATE ROYAL THINS 200G MENTA,"4.990,00"
DULCES Y CHOCOLATES,4250231140112,CHRO200112,CHOCOLATE ROYAL THINS 200G SALTED CARAMEL,"4.990,00"
DULCES Y CHOCOLATES,7802230070227,CS250227,CHOCOLATE SAHNE NUSS BARRA 250G,"7.990,00"
DULCES Y CHOCOLATES,8445290386892,CS906892,CHOCOLATE SAHNE NUSS SIN AZUCAR AÑADIDA 90G,"3.990,00"
DULCES Y CHOCOLATES,7802950072358,CS142358,CHOCOLATE SAHNE-NUSS 14G,390
DULCES Y CHOCOLATE,7613034721051,CS161051,CHOCOLATE SAHNE-NUSS 160G,"5.190,00"
DULCES Y CHOCOLATES,7613035588776,CS308776,CHOCOLATE SAHNE-NUSS 30G,990
DULCES Y CHOCOLATES,7613287103529,CS903529,CHOCOLATE SAHNE-NUSS 90G,"2.890,00"
DULCES Y CHOCOLATE,8445291790001,CS880001,CHOCOLATE SAVORY CHOCOLITO 88GR,"1.990,00"
DULCES Y CHOCOLATE,7899970402838,CS822838,CHOCOLATE SEMI AMARGO HERSHEYS 82G,"2.290,00"
DULCES Y CHOCOLATES,040000514251,CS524251,"CHOCOLATE SNICKERS 52,7G","1.790,00"
DULCES Y CHOCOLATES,7622200007332,CS107332,CHOCOLATE STRAWBERRY MILKA 100G,"2.290,00"
DULCES Y CHOCOLATES,7622300986636,CS366636,CHOCOLATE SUIZO CON LECHE Y NOUGAT TOBLERONE 360G,"11.290,00"
DULCES Y CHOCOLATES,7802225428064,CT908064,CHOCOLATE TIFANY'S 90GR,"1.490,00"
DULCES Y CHOCOLATES,7802225430234,CT150234,CHOCOLATE TIFFANY´S 150G,"1.690,00"
DULCES Y CHOCOLATES,76145513,CT505513,CHOCOLATE TOBLERONE 50G,"1.490,00"
DULCES Y CHOCOLATES,8410679234613,CT804613,CHOCOLATE TRAPA 100% CACAO 80G,"3.790,00"
DULCES Y CHOCOLATES,8410679234620,CT804620,CHOCOLATE TRAPA 80% CACAO STEVIA 80G,"3.990,00"
DULCES Y CHOCOLATES,8410679234606,CT904606,CHOCOLATE TRAPA MILK 90G,"3.990,00"
CANDYLAND,5900951314674,CHTRBASACAM&354674,CHOCOLATE TREAT BAG SALTED CARAMEL M&M 35G,"2.990,00"
DULCES Y CHOCOLATES,8445291976245,CT146247,CHOCOLATE TRENCITO 14G,390
DULCES Y CHOCOLATES,7802230070029,CT150029,CHOCOLATE TRENCITO 150G,"3.990,00"
DULCES Y CHOCOLATES,7613034276490,CT246490,CHOCOLATE TRENCITO 24G,690
DULCES Y CHOCOLATES,7802230070012,CT800012,CHOCOLATE TRENCITO 80G,"2.190,00"
CANDYLAND,5000201499776,CT439776,CHOCOLATE TWIRL 43GR,"2.490,00"
DULCES Y CHOCOLATES,7802215124082,CV124082,CHOCOLATE VIZZIO 90G,"2.090,00"
DULCES Y CHOCOLATES,7802215104848,CV124848,CHOCOLATE VIZZIO 120G,"2.790,00"
USAMARKET,4008400183022,CR233022,CHOCOLATES RAFFAELLO COCO ALMENDRA 230GR,"9.990,00"
DESPENSA,084773611502,CR191502,CHORITO ROBINSON CRUSOE AL AGUA 190GR,"2.890,00"
DESPENSA,084773611519,CR191519,CHORITO ROBINSON CRUSOE EN ACEITE 190GR,"2.890,00"
QUESOS Y FIAMBRES,7801916038452,CA208452,CHORIZO ARTESANAL CENTENARIO LA PREFERIDA 200G,"2.490,00"
CONGELADOS,7809611720207,CD360207,CHORIZO DE CAMPO LA CRIANZA 360G,"4.090,00"
CARNICERIA,7801916039480,CHPRPAAR50,CHORIZO LA PREFERIDA PARRILLERO ARGENTINO 500G,"6.390,00"
CONGELADOS,7804659652015,CN242015,CHORIZO NOT CO 240GR,"6.190,00"
CARNICERIA,7801916038506,CP258506,CHORIZO PARRILERO ANGUS LA PREFERIDA 250G,"3.190,00"
CARNICERIA,7801916038513,CP508513,CHORIZO PARRILLERO LA PREFERIDA 500G,"6.190,00"
QUESOS Y FIAMBRES,7801930021454,CP401454,CHORIZO PARRILLERO PF SELECCIÓN 400G,"3.690,00"
QUESOS Y FIAMBRES,7801930007403,CP6U7403,CHORIZO PARRILLERO PF SELECCIÓN 6U,"2.290,00"
CARNICERIA,7801930007960,CP257960,CHORIZO PARRILLERO RECETA DEL ABUELO 250G,"5.790,00"
PANADERIA,CT1K1787,7809611701787,CHORIZO TRADICIONAL SUPER CERDO 1K,"5.590,00"
DESPENSA,7803900000360,CM500360,CHUCHOCA MARTINI 500GR,"1.990,00"
SNACKS,7802351441203,CD361203,CHUCRUT DON JUAN 360G,"1.190,00"
DESPENSA,7802337910280,CT200280,CHUCRUT TRAVERSO 200G,"1.290,00"
DESPENSA,7803900000384,CF250384,CHUÑO FECULA MARTINI 250GR,"1.590,00"
DESPENSA,726367913172,CN150172,CHUÑO NATURAL TALLRIK 150G,"1.490,00"
DULCES Y CHOCOLATES,73390007935,CC577935,CHUPA CHUPS XTREME MORA AZUL 57G,"1.090,00"
DULCES Y CHOCOLATES,7503023533355,CC573355,CHUPA CHUPS XTREMES BITES 57G,"1.190,00"
DULCES Y CHOCOLATES,6965020032650,CD9G2650,CHUPA DEDOS 9G,490
DULCES Y CHOCOLATES,5011053003325,CP153325,CHUPETINES PUSH POP 15G,"1.590,00"
DULCES Y CHOCOLATES,7798040463598,CP143598,CHUPETINES PUSH POP FRUTILLA 14G,"1.590,00"
CONGELADOS,7808737700483,CD120483,CHURRASCO DE VACUNO LA CRIANZA 120GR,"3.390,00"
CONGELADOS,7801916031910,CHVA901910,CHURRASCO DE VACUNO LA PREFERIDA 90G,"1.790,00"
CARNICERIA,7801907011037,CD121037,CHURRASCO DE VACUNO SAN JORGE 120G,"1.690,00"
CONGELADOS,7804676780036,CF900036,CHURRASCO FT EXCELENCIA 90GR,"1.690,00"
CONGELADOS,7801930011028,CR1201028,CHURRASCO RECETA DEL ABUELO VACUNO 120GR,"2.990,00"
MASCOTAS,855958006570,CP46570,CHURU POLLO 4U,"3.790,00"
LIMPIEZA,7791290794450,CL454450,CIF LIMPIADOR VIDRIOS BIODEGRADBLE RECARGA 450ML,"3.090,00"
CIGARRILLOS,78025271,KB2071,CIGARRO KENT 20 BLUE UP,"5.700,00"
CIGARRILLOS,78025288,KW2088,CIGARRO KENT 20 WHITE UP,"5.700,00"
CIGARRILLOS,78025318,KB2018,CIGARRO KENT BOOST UP 20,"6.000,00"
CIGARRILLOS,78026384,CK6384,CIGARRO KENT NEO 20U,"5.200,00"
CIGARRILLOS,78021020,CK101020,CIGARRO KENT NEO 10U,"3.000,00"
CIGARRILLOS,78025219,KN205219,CIGARRO KENT NEO IKON MIX 20U,"5.400,00"
CIGARRILLOS,78026414,KN206414,CIGARRO KENT NEO ROSE 20U,"5.400,00"
CIGARRILLOS,78028913,CIKE207808,CIGARRO KENT NEO ROSE 20U CIGARRO KENT NEO SNOWFALL 20U,"5.200,00"
CIGARRILLOS,78026438,KN206438,CIGARRO KENT NEO TROPIC 20U,"5.400,00"
CIGARRILLOS,78025332,CK5332,CIGARRO KENT SILVER UP 20U,"5.700,00"
CIGARRILLOS,78028432,69238042000412,CIGARRO LUCKY STRIKE ALASKA 20U,"6.100,00"
CIGARRILLOS,78033450,CL202450,CIGARRO LUCKY STRIKE AMBER 20U,"6.100,00"
CIGARRILLOS,78016293,LS106293,CIGARRO LUCKY STRIKE CLICK 10U,"3.600,00"
CIGARRILLOS,78024878,CL204878,CIGARRO LUCKY STRIKE CLICK 20U,"6.000,00"
CIGARRILLOS,78028791,LCCO8791,CIGARRO LUCKY STRIKE CLICK COMPACT,"4.700,00"
CIGARRILLOS,78030442,LS2042,CIGARRO LUCKY STRIKE ECLIPSE 20,"6.100,00"
CIGARRILLOS,78028838,CL208838,CIGARRO LUCKY STRIKE EXOTIC JOY COMPACT 20U,"4.700,00"
CIGARRILLOS,78025240,LSFT205240,CIGARRO LUCKY STRIKE FRESH TWIST 20U,"6.100,00"
CIGARRILLOS,78028814,CL208814,CIGARRO LUCKY STRIKE FRESH WILD COMPACT 20U,"4.700,00"
CIGARRILLOS,78019324,CL9324,CIGARRO LUCKY STRIKE PATTERSON AZUL 20U,"4.000,00"
CIGARRILLOS,78019317,CL9317,CIGARRO LUCKY STRIKE PATTERSON ROJO 20U,"4.000,00"
CIGARRILLOS,78022010,CL102010,CIGARRO LUCKY STRIKE PULPLE WILD XTEND 10U,"3.600,00"
CIGARRILLOS,78024717,LS204717,CIGARRO LUCKY STRIKE PURPLE WILD XTEND 20U,"6.100,00"
CIGARRILLOS,78024892,CL204892,CIGARRO LUCKY STRIKE SHARP CRUSH 20U,"6.100,00"
CIGARRILLOS,78028074,LS208074,CIGARRO LUCKY STRIKE SLOW-CURED BLUE 20U,"5.500,00"
CIGARRILLOS,78026230,69238042085526,CIGARRO MARLBORO AZUL TABACO REPOSADO 20U,"4.100,00"
CIGARRILLOS,78027145,CM127145,CIGARRO MARLBORO FOREST MIST 12U,"2.800,00"
CIGARRILLOS,78027152,69238042034342,CIGARRO MARLBORO GARDEN ZING 12U,"2.900,00"
CIGARRILLOS,78026216,69238042063690,CIGARRO MARLBORO ROJO TABACO REPOSADO 20U,"5.500,00"
CIGARRILLOS,78024915,69238042055469,CIGARRO MARLBORO SUMMER ZEST 20U,"4.500,00"
CIGARRILLOS,78024410,69238042064176,CIGARRO MARLBORO TOUCH CLEAR CAPS 20U,"4.500,00"
CIGARRILLOS,78018853,PM108853,CIGARRO PALL MALL AZUL 10,"1.900,00"
CIGARRILLOS,78028043,PM208043,CIGARRO PALL MALL AZUL XL 20,"4.100,00"
CIGARRILLOS,78034150,CP184150,CIGARRO PALL MALL BLOOM 18U,"3.400,00"
CIGARRILLOS,78025035,CP5035,CIGARRO PALL MALL CLICK ON XL 20U,"4.900,00"
CIGARRILLOS,78029071,PM209071,CIGARRO PALL MALL SUNRISE MIX 20U,"4.900,00"
CIGARRILLOS,78025066,CP5066,CIGARRO PALL MALL SUNSET XL 20U,"4.900,00"
CIGARRILLOS,78019065,CP109065,CIGARRO PALL MALL VERDE 10U,"2.600,00"
CIGARRILLOS,78025059,CP205059,CIGARRO PALL MALL VERDE 20 U 20U,"4.900,00"
CIGARRILLOS,78028050,CP8050,CIGARRO PALL MALL XL GRIS 20U,"4.100,00"
CIGARRILLOS,78031883,CK201883,CIGARROS KENT NEO SPLASH 20U,"5.200,00"
CIGARRILLOS,78019041,CIPA109041,CIGARROS PALL MALL AZUL CLICK ON 10U,"2.600,00"
MENAJE Y LIBRERIA,3100004076050,CA1U4521,CINTA ADHESIVA FULTONS 20M 1U,490
FERRETERIA,3100854635094,CD405094,CINTA DE EMBALAJE CAFE 40M,"2.290,00"
MENAJE Y LIBRERIA,3100854404577,CD484577,CINTA DE EMBALAJE FULTONS GRUESA 48MM,"2.390,00"
MENAJE Y LIBRERIA,3100005231540,CE481540,CINTA EMBALAJE FULTONS 48MM,"2.390,00"
FERRETERIA,7804628246498,CM1U6498,CINTA METRICA 3M HT 1U,"2.090,00"
FERRETERIA,7707314794832,CP1U4832,CINTA PARA ENMASCARAR 40M X 24MM TESA 1U,"3.090,00"
DESPENSA,7802410101376,CD5G1376,CLAVO DE OLOR GOURMET 5G,690
DESPENSA,7802410102267,CD52267,CLAVO DE OLOR LIDER ENTERO 5GR,690
LIMPIEZA,7805080100021,CC1K0021,CLORO CLORINDA 1K,"1.590,00"
LIMPIEZA,7805080100014,CC250014,CLORO CLORINDA 250G,"1.190,00"
LIMPIEZA,7805080692519,CC502519,CLORO CLORINDA 500G,"1.590,00"
LIMPIEZA,7805080695091,CC905091,CLORO CLORINDA GEL DE MENTA 900ML,"2.590,00"
LIMPIEZA,7806810028875,CC1L8875,CLORO CONCENTRADO IMPEKE 1L,"1.490,00"
LIMPIEZA,7805080691529,CG251529,CLORO GEL CLORINDA 250G,990
LIMPIEZA,7805080691536,CG501536,CLORO GEL CLORINDA 500G,"1.790,00"
LIMPIEZA,7805080695107,CG905107,CLORO GEL CLORINDA FLORES SILVESTRES 900ML,"2.590,00"
LIMPIEZA,7805080695084,CG905084,CLORO GEL CLORINDA ORIGINAL 900ML,"2.590,00"
LIMPIEZA,7805025690419,CLRO370419,CLOROX ROPA BLANCA 370G,"1.090,00"
LIMPIEZA,7805025698316,CR3008316,CLOROX ROPA QUITAMANCHAS 300CC BLANCO,"1.990,00"
LIMPIEZA,7805025698309,CLRO338309,CLOROX ROPA QUITAMANCHAS 300CC COLOR,"1.990,00"
GALLETAS,7622201720247,CS210247,CLUB SOCIAL 216G,"2.290,00"
HELADO,7802410506225,CC206225,COBERTURA CHOCOLATE GOURMET 200GR,"4.290,00"
BEBIDAS,7801610001615,CC2L1615,COCA COLA 2L,"2.890,00"
CANDYLAND,04905004,COCOCH355004,COCA COLA CHERRY 355ML,"1.990,00"
BEBIDAS,7801610880104,COCAEX230159,COCA COLA EXPRESS 237ML,690
BEBIDAS,7801610022726,CC152726,"COCA COLA LIGHT 1,5L","2.490,00"
BEBIDAS,7801610022528,CC2528,"COCA COLA LIGHT 2,5L","2.500,00"
BEBIDAS,7801610352151,COCOLI3L2151,COCA COLA LIGHT 3L,"3.890,00"
BEBIDAS,7801610000595,COCA590595,COCA COLA LIGHT 591ML,"1.590,00"
BEBIDAS,7801610022122,CC352122,COCA COLA LIGHT LATA 350ML,"1.290,00"
Sin Tipo,7801610022283,CC2L2283,COCA COLA LIGHT RETORNABLE 2L,"2.290,00"
BEBIDAS,7801610001622,CC1622,"COCA COLA NORMAL 1,5L","2.490,00"
BEBIDAS,7801610001523,CC1523,"COCA COLA NORMAL 2,5L","2.500,00"
BEBIDAS,7801610323236,CC3236,COCA COLA NORMAL 3L,"3.890,00"
BEBIDAS,7801610000571,CC0571,COCA COLA NORMAL 591ML,"1.590,00"
BEBIDAS,7801610001196,CC1196,COCA COLA NORMAL LATA 350CC,"1.290,00"
BEBIDAS,7801610001295,CC2L1295,COCA COLA NORMAL RETORNABLE 2L,"2.290,00"
BEBIDAS,7801610305287,CC2L5287,COCA COLA SIN AZUCAR 2L,"2.890,00"
CANDYLAND,04936509,CC356509,COCA COLA VAINILLA 355CC,"1.990,00"
BEBIDAS,7801610350409,CC0409,"COCA COLA ZERO 1,5L","2.490,00"
BEBIDAS,7801610350850,CC0850,"COCA COLA ZERO 2,5L","2.500,00"
BEBIDAS,7801610305560,CC5560,COCA COLA ZERO 3L,"3.890,00"
BEBIDAS,7801610000601,CC590601,COCA COLA ZERO 591ML,"1.590,00"
BEBIDAS,7801610880159,COCOEX230104,COCA COLA ZERO EXPRESS 237ML,690
BEBIDAS,7801610350355,CC0355,COCA COLA ZERO LATA 350CC,"1.290,00"
BEBIDAS,7801610350256,CC2L0256,COCA COLA ZERO RETORNABLE 2L,"2.290,00"
PASTELERIA,77634688536681,C16681,COCADA 1U,800
PASTELERIA,77824913707917,C17917,COCADAS 1U,800
PASTELERIA,7809513018020,CC158020,COCKTAIL CLARISA 15U,"6.500,00"
BOTILLERIA,8411640001043,CS271043,COCKTAIL SPIRIT LIMON 275CC,"2.190,00"
BOTILLERIA,8411640010892,CS270892,COCKTAIL SPIRIT MANZANA 275CC,"2.190,00"
BOTILLERIA,8411640010908,SP270908,COCKTAIL SPIRIT PASSION FRUIT 275CC,"2.190,00"
DESPENSA,7801800100043,CD820043,COCKTEL DE FRUTAS ACONCAGUA 820GR,"4.390,00"
DESPENSA,7802410004554,CR354554,COCO RALLADO GOURMET 350G,"4.390,00"
DULCES Y CHOCOLATES,7591016871089,CONE501089,COCOSETTE NESTLE 50G,990
BOTILLERIA,7802175453956,CC703956,COCTEL CAMPANARIO CHIRIMOYA COLADA 700CC,"6.190,00"
BOTILLERIA,7802175001966,CACODEMO701966,COCTEL CAMPANARIO COLA DE MONO 700CC,"5.690,00"
BOTILLERIA,7802175455981,CC705981,COCTEL CAMPANARIO MANGO COLADO 700CC,"6.190,00"
BOTILLERIA,7802175453222,CADEPICAMASO7003222,COCTEL CAMPANARIO MANGO SOUR 700CC,"5.890,00"
BOTILLERIA,7802175000228,CC700228,COCTEL CAMPANARIO PIÑA COLADA 700CC,"6.190,00"
BOTILLERIA,7802175003496,CC703496,COCTEL CAMPANARIO SOUR 700ML,"6.490,00"
BOTILLERIA,7802175002697,COCATO702697,COCTEL CAMPANARIO TOFFEE 14° 700CC,"6.890,00"
BOTILLERIA,7802110001112,CC701112,COCTEL CAPEL CHIRIMOYA COLADA 700CC,"6.190,00"
BOTILLERIA,7802110003512,CC703512,COCTEL CAPEL MANJAR LUCUMA 700CC,"6.690,00"
BOTILLERIA,7802110003475,CC703474,COCTEL CAPEL MOCCA CREAM 700CC,"6.690,00"
BOTILLERIA,7802110001228,CC701228,COCTEL CAPEL TOFFE CREAM 700CC,"6.490,00"
DESPENSA,7801305101354,CD561354,COCTEL DE FRUTAS WASIL 560G,"3.890,00"
BOTILLERIA,7802110001051,CM701051,COCTEL MANGO COLADA CAPEL 700CC,"6.490,00"
BOTILLERIA,7802175453321,CM1L3321,COCTEL MANGO SOUR CAMPANARIO 1L,"7.090,00"
BOTILLERIA,8411640001371,CS271371,COKTAIL SPIRIT BLUEBERRY 275CC,"2.190,00"
BOTILLERIA,8411640011714,CS271714,COKTAIL SPIRIT CHERRY 275CC,"2.190,00"
BOTILLERIA,8411640001029,CS271029,COKTAIL SPIRIT GIN LEMON 275CC,"2.190,00"
BOTILLERIA,8411640001012,CS271012,COKTAIL SPIRIT GIN TONIC 275CC,"2.190,00"
BOTILLERIA,8411640001340,CS271340,COKTAIL SPIRIT MOJITO 275CC,"2.190,00"
BOTILLERIA,8411640001036,CS271036,COKTAIL SPIRIT ORANGE 275CC,"2.190,00"
BOTILLERIA,8411640001098,CS271098,COKTAIL SPIRIT PIÑA 275CC,"2.190,00"
BOTILLERIA,8411640012308,CS332308,COKTAIL SPIRIT PIÑA 330CC,"2.190,00"
DESPENSA,7802635000478,CC180478,COLA CAO FRUTILLA 180G,"1.890,00"
LACTEOS,7802420007088,COCA407088,COLA CAO ORIGINAL 400G,"3.890,00"
BOTILLERIA,7804671160314,76660385054661,COLA DE MONO LA PIZKA 1L,"14.990,00"
HELADOS,7613033495335,CD1U5335,COLA DE TIGRE 1U,700
MENAJE Y LIBRERIA,7807265008146,CF228146,COLA FRIA PROARTE 225G,"1.790,00"
DESPENSA,7802635001086,CI101086,COLACAO INSTANTANEO 1000G,"8.890,00"
DESPENSA,7802635000652,CI180652,COLACAO INSTANTANEO 180G,"2.090,00"
DESPENSA,7613036653961,CD113961,COLADO DE CARNE Y VERDURAS 115G,"2.190,00"
DESPENSA,7613036749565,CD119565,COLADO DE POLLO Y VERDURAS 115G,"2.990,00"
DESPENSA,8445291427303,CP207303,COLADO DE POLLO Y VERDURAS 205G,"2.990,00"
DESPENSA,7613030264040,CN214040,COLADO NESTLE CARNE Y VERDURAS 215G,"2.990,00"
BEBES,8445291769885,CN209885,COLADO NESTLE NATURNES CARNES Y VERDURAS 205GR,"3.090,00"
BEBES,8445291770218,CN200218,COLADO NESTLE NATURNES POLLO VERDURAS 205GR,"3.090,00"
DESPENSA,7613030264088,CN214088,COLADO NESTLE POLLO Y VERDURAS 215G,"2.990,00"
BEBES,7506475110297,CO100297,COLADO ORGANICO MANGO NARTURNES 100G,"1.490,00"
BEBES,7506475110303,CO100303,COLADO ORGANICO MANZANA NARTURNES 100G,"1.490,00"
CASA Y JARDIN,857294000090,CP100090,COLADOR PLÁSTICO ILKO 10CM,"3.290,00"
CASA Y JARDIN,857294000113,COPL188572,COLADOR PLASTICO ILKO 18CM,"3.890,00"
DESPENSA,7802410363002,CG123002,COLAPEZ GOURMET 5 HOJAS 12G,"1.890,00"
HIGIENE Y CUIDADO PERSONAL,8901314837899,CE1U7899,COLGATE EXTRA CLEAN MEDIO 1U,"1.290,00"
HIGIENE Y CUIDADO PERSONAL,7804945007567,CA127567,COLONIA AMARILLA BABYLAND 125ML,"2.690,00"
BEBES,7804945076211,CL126211,"COLONIA LILA BABYLAND 12,5ML","2.690,00"
BEBES,7804945076204,CP126204,"COLONIA PINK BABYLAND 12,5ML","2.690,00"
BEBES,7804945007505,CV127505,"COLONIA VERDE BABYLAND 12,5ML","2.690,00"
MASCOTAS,12345114,CD1K5114,COMIDA DE PERRO GRANEL MCH 1K,"2.290,00"
MASCOTAS,12345115,CD1K5115,COMIDA DE PERRO GRANEL PEDIGREE 1K,"3.690,00"
DESPENSA,7802410131373,CM151373,COMINO MOLIDO GOURMET 15G,490
MENAJE Y LIBRERIA,7807265009624,CP1U9624,COMPAS PROARTE 1U,"3.390,00"
DESPENSA,7802200270022,CD900022,COMPOTA DE MANZANA VIVO 90G,690
DESPENSA,7802200270039,CD900039,COMPOTA DE PERA VIVO 90G,690
DESPENSA,7802200270381,CD900381,COMPOTA DE PLATANO VIVO 90G,690
POSTRES,7613037839715,CODU129715,COMPOTA DURAZNO NESTLE 120G,590
POSTRES,7613037839326,COMA129326,COMPOTA MANZANA NESTLE 120G,590
POSTRES,7613037839746,CP129746,COMPOTA PERA NESTLE 120G,590
DESPENSA,7802200270015,CV900015,COMPOTA VIVO DURAZNO 90G,690
DESPENSA,7802200270480,CV90,"COMPOTA VIVO MANZANA, MANGO Y PLATANO 90GR","1.190,00"
DESPENSA,7802200270466,CV900466,COMPOTA VIVO ORGANICA DPA 90GR,"1.090,00"
DESPENSA,7802200270473,CV900473,COMPOTA VIVO ORGNAICO MP 90GR,"1.090,00"
DULCES Y CHOCOLATES,77940810,CBOB810,CONEJO BON O BON,"2.590,00"
DULCES Y CHOCOLATE,77941145,CB111145,CONEJO BON O BON CHOCOLATE 110GR,"2.790,00"
DULCES Y CHOCOLATE,77946607,CR607,CONEJO ROCKLETS,"2.590,00"
HELADO,7804602600360,CH100360,CONOS DE HELADO LA SELECTA 10 UNIDADES,"2.090,00"
GALLETAS,609143266979,COHA106979,COOKIES LA HORA DEL TE 100G,"2.000,00"
USAMARKET,5056357914236,CM1804236,COOKIES M&MS MINI 180GR,"4.490,00"
DULCES Y CHOCOLATES,7802225512886,CB7U2886,CORAZON BON O BON 7U,"2.990,00"
DESPENSA,7750243073172,CG403172,CORBATA GRANDE DON VITTORIO 400G,990
DESPENSA,7802500003023,CL4003023,CORBATAS LUCCHETTI 400GR,"1.290,00"
BOTILLERIA,7891991305679,COOA33,CORONA 0 ALCOHOL 330CC,"1.390,00"
HIGIENE Y CUIDADO PERSONAL,6928972862119,CU1U2119,CORTA UÑAS 1U,"2.190,00"
HIGIENE Y CUIDADO PERSONAL,7891112245341,CC1U5341,CORTAUÑAS CHICO TRAMONTINA 1U,"6.990,00"
HIGIENE Y CUIDADO PERSONAL,7891112245365,CG1U5365,CORTAUÑAS GRANDE TRAMONTINA 1U,"5.590,00"
HIGIENE Y CUIDADO PERSONAL,7823107800211,CI1U0211,CORTAUÑAS INFANTIL 1U,"1.890,00"
CARNICERIA,72989135422497,CCKGH123,CORTE CRIOLLO KG HAMBURGUESAS $2.490,1
CARNICERIA,72989109880034,CCKGLL123,CORTE CRIOLLO KG LOMO LISO $19.990,1
CARNICERIA,72989119796016,CCKGLV123,CORTE CRIOLLO KG LOMO VETADO $21.990,1
CARNICERIA,72989131655393,CCKGPP123,CORTE CRIOLLO KG PUNTA DE PICANA $15.990,1
CARNICERIA,1234540,CP1K4540,COSTILLAR PREMIUM DON RICARDITO 1K,"15.990,00"
CARNICERIA,76895328924151,CS14151,COSTILLAR SUPER CERDO 1.2GR,"17.990,00"
CARNICERIA,7809611711281,CA701281,COSTILLITAS A LA CHILENA SUPER CERDO 700G,"8.390,00"
HIGIENE Y CUIDADO PERSONAL,7730219040513,CA200513,COTIDIAN ABSORVENTE 20U,"6.490,00"
HIGIENE Y CUIDADO,6902023111524,CD201524,COTONITO DE ALGODON AILEDA 200U,"1.990,00"
HIGIENE Y CUIDADO PERSONAL,659525893989,CS1U3989,COTONITOS SOFT CLOUD 1U,"2.290,00"
DULCES Y CHOCOLATES,1234556,CB1U4556,COYAC BON BON BUM 1U,300
USAMARKET,7501056900168,CB0167,COYAC BUBBALOO XTREME MORA AZUL,490
DULCES Y CHOCOLATES,73721367172506,CP172506,COYAC PIN POP 1U,300
GALLETAS,7802225689090,CS909090,CRACKER SABOR MERKEN 90G,690
SNACKS,7802225682107,CS102107,CRACKER SELZ 107G,590
SNACKS,7802225689014,CT909014,CRACKER TRADICIONAL 90G,690
SNACK,7804666810057,CA160057,CRACKERS ACEITUNAS VERDES NAT 160G,"5.390,00"
SNACK,7804666810118,CC800118,"CRACKERS CAJU, PASAS Y JENGIBRE NAT 80G","2.890,00"
SNACK,7804666810064,CC800064,CRACKERS CRAMBERRY Y NUEZ NAT 80G,"2.890,00"
SNACK,7804666810026,CD160026,CRACKERS DATILES Y ALMENDRAS NAT 160G,"5.390,00"
SNACK,7804666810088,CD800088,CRACKERS DATILES Y ALMENDRAS NAT 80G,"2.890,00"
SNACK,7804666810002,CP160002,CRACKERS PISTACHO Y ROMERO NAT 160G,"5.390,00"
SNACK,7804666810095,CP800095,CRACKERS PISTACHO Y ROMERO NAT 80G,"2.890,00"
QUESOS Y FIAMBRES,7804613392896,CC192896,CREAM CHEESE PRESIDENT 190G,"3.990,00"
LACTEOS,7802900960018,74707962683605,CREMA CHANTILLY LIGHT SOPROLE 250G,"5.590,00"
LACTEOS,7802930002580,CC252580,CREMA CHANTILLY QUILLAYES 250G,"4.790,00"
LACTEOS,7802900097011,CC257011,CREMA CHANTILLY SOPROLE 250G,"5.090,00"
HIGIENE Y CUIDADO PERSONAL,7804945015487,CC155487,CREMA CORPORAL DIABETIC SIMONDS 150ML,"2.090,00"
HIGIENE Y CUIDADO PERSONAL,7800004005772,CC355772,CREMA CORPORAL LECHUGA HIDRATACION REPARATIVA 350ML,"4.990,00"
HIGIENE Y CUIDADO PERSONAL,7800004005789,CC355789,CREMA CORPORAL LECHUGA REAFIRMANTE 350ML,"4.990,00"
HIGIENE Y CUIDADO PERSONAL,7804945015371,CC155371,CREMA CORPORAL SIMONDS PIEL ATOPICA 150ML,"2.090,00"
HIGIENE Y CUIDADO PERSONAL,7804945015364,CC155364,CREMA CORPORAL SIMONDS Q10 REAFIRMANTE 150ML,"2.190,00"
HIGIENE Y CUIDADO PERSONAL,7804945015272,CC405272,CREMA CORPORAL SIMONDS Q10 REAFIRMANTE 400ML,"6.390,00"
HIGIENE Y CUIDADO PERSONAL,7804945015357,CC155357,CREMA CORPORAL SIMONDS UREA 10 150ML,"2.090,00"
BOTILLERIA,7802150000991,CD750991,CREMA DE CASSIS MITJANS 750CC,"8.390,00"
DESPENSA,7803700012259,CD602259,CREMA DE CHOCLO NATUREZZA 60GR,"1.390,00"
DESPENSA,7801534003146,CD393146,CREMA DE COCO DEYCO 396G,"4.190,00"
LACTEOS,7802920000435,CRLE1L0435,CREMA DE LECHE BATIDA COLUN 1L,"6.490,00"
LACTEOS,7613032414580,CD154580,CREMA DE LECHE NESTLE 157G,"1.690,00"
DESPENSA,7802950022322,CD202322,CREMA DE LECHE NESTLE 200ML,"1.790,00"
LACTEOS,7613032415679,CD235679,CREMA DE LECHE NESTLE 236G,"2.890,00"
LACTEOS,7896034630442,CD200442,CREMA DE LECHE PARMALAT 200G,"1.190,00"
LACTEOS,7802900105013,CD205013,CREMA DE LECHE SOPROLE 200G,"1.790,00"
